language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.08"
JSX,Frontend/src/features/admin/models/components/ModelCatalogTab.jsx,6,0,100
JavaScript,Backend/modules/decisionEngine/evaluations/structures/alternativePairwiseByCriterion/alternativePairwiseByCriterion.context.js,18,0,99
JavaScript,Backend/modules/issues/scenarios/buildScenarioPayloads.js,9,0,98
JavaScript,Frontend/src/services/httpRequest.service.js,16,43,98
JavaScript,Frontend/src/utils/linguisticMembershipFunctions.js,21,0,97
JavaScript,Frontend/src/features/finishedIssues/hooks/useFinishedIssuesView.js,18,29,96
JSX,Frontend/src/features/finishedIssueDialog/components/FinishedIssueDialog.jsx,9,11,95
JavaScript,Backend/models/ExpressionDomain.js,11,0,94
JavaScript,Backend/modules/decisionEngine/evaluations/structures/alternativeCriteriaMatrix/alternativeCriteriaMatrix.context.js,16,0,94
JavaScript,Backend/modules/issues/active/resolveActiveIssuePermissions.js,13,0,94
JavaScript,Backend/models/IssueExpressionDomains.js,12,0,93
JavaScript,Backend/modules/issues/participants/applyParticipantEdition.js,18,0,93
JSX,Frontend/src/features/modelParameters/fields/intervalGlobal/IntervalGlobalParameterField.jsx,14,0,93
JavaScript,Backend/modules/issues/creation/loadCreateIssueData.js,14,0,92
JavaScript,Frontend/src/features/finishedIssueDialog/logic/selectFinishedIssuePhase.js,27,0,92
JavaScript,Backend/modules/decisionEngine/modelParameters/resolveModelParameterValues.js,19,0,91
JavaScript,Frontend/src/features/activeIssues/logic/activeIssueWorkflow.js,28,19,90
JavaScript,Backend/middlewares/authValidations.js,28,0,89
JavaScript,Backend/modules/admin/users/reassignIssueAdmin.js,11,0,89
JavaScript,Backend/modules/issues/participants/loadParticipantEditionContext.js,16,0,89
JavaScript,Backend/services/modelApi/modelCatalog.js,20,0,89
JSX,Frontend/src/features/activeIssues/components/ActiveIssuesOverlays.jsx,8,6,89
JSX,Frontend/src/features/activeIssues/components/drawer/ActiveIssueTimeline.jsx,11,8,89
JavaScript,Backend/modules/issues/active/buildActiveCriteriaWeights.js,15,0,88
JavaScript,Backend/modules/issues/active/getActiveIssuesPayload.js,12,0,88
JavaScript,Backend/modules/issues/finished/finishedPayload/buildFinishedScenarioModels.js,6,0,88
JSX,Frontend/src/features/createIssue/summary/components/CriterionAccordion.jsx,6,0,88
JSX,Frontend/src/features/finishedIssueDialog/overview/components/CriterionItem.jsx,9,6,86
Python,ApiModels/schemas/model_requests.py,17,6,85
JavaScript,Backend/modules/decisionEngine/evaluations/structures/alternativePairwiseByCriterion/alternativePairwiseByCriterion.computeValidation.js,11,0,85
JavaScript,Backend/modules/issues/active/activeIssueUiCatalog.js,4,0,83
JavaScript,Frontend/src/features/modelParameters/logic/modelParameterValueState.js,21,0,83
JavaScript,Frontend/src/utils/authFetch.js,26,36,83
JSX,Frontend/src/features/issueEvaluation/components/ExpressionDomainSummaryButton.jsx,8,0,82
JSX,Frontend/src/features/finishedIssueDialog/graphs/components/AnalyticalConsensusLineChart.jsx,10,6,81
Python,ApiModels/models/fuzzy_topsis/fuzzy_topsis_model.py,23,3,79
JSX,Frontend/src/components/ResponsiveNavbar/components/ResponsiveNavbarUserMenu.jsx,3,12,79
JavaScript,Frontend/src/features/notifications/hooks/useNotificationsPanel.js,17,38,79
JSX,Frontend/src/features/settings/components/fields/ConfirmPasswordDialog.jsx,10,0,79
Python,ApiModels/services/model_manifest_service.py,28,8,78
JSX,Frontend/src/features/activeIssues/components/drawer/ActiveIssueParticipationChart.jsx,10,15,78
JavaScript,Frontend/src/utils/criteria.utils.js,15,44,78
JSX,Frontend/src/features/createIssue/alternatives/components/AlternativeItem.jsx,1,0,77
JavaScript,Backend/routes/issue.route.js,24,0,76
JavaScript,Backend/modules/admin/issueReads/adminIssueReadLoaders.js,13,0,75
JavaScript,Backend/modules/decisionEngine/modelParameters/handlers/array.parameter.js,14,0,75
JavaScript,Frontend/src/features/activeIssues/logic/activeIssuesListing.js,20,18,75
